scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
105,3.982004376052106,4.030792524373118,4.180911798799294,4.437313930454738,4.614733196360311,4.8377283124714054,5.299416354973176
106,3.956110546952628,3.9936971933459797,4.120370375797511,4.352739680529605,4.576774358918072,4.822573806070981,5.247490519929223
107,3.986901779097549,4.027993216006241,4.206072900522442,4.450490938933652,4.604320568028756,4.819737196336921,5.290328249220328
108,3.9713307983092063,3.9769544273376023,4.164754074201941,4.4252781669912835,4.616008660763005,4.829903826259224,5.297947103499704
109,3.953328311747915,3.993148152456756,4.159251638293679,4.403577202542191,4.598728082346483,4.839976093450512,5.324843157986282
110,3.9067142534921633,3.9906006531728986,4.1270821418433306,4.386932345826681,4.569410448212245,4.763870171572719,5.222261185058904
111,3.9074603903960217,3.9699967503381903,4.118914540271016,4.323737052485148,4.480343163246365,4.744539303328587,5.212133867513191
112,3.931595876966526,3.9729847396548945,4.155253312711618,4.384091630335954,4.573644210621218,4.783952042843103,5.22661720659872
113,3.942046591295284,4.004608773782131,4.141617371103612,4.387738657398273,4.56635160867654,4.816609095731121,5.252916643025016
114,3.9723099774700685,3.9949573764838564,4.146745983957884,4.415556804423123,4.631031329302231,4.866279041092675,5.310689062163608
115,3.940417896416164,3.973588099014404,4.123186867981676,4.370684508374965,4.547968309885449,4.753409692194675,5.205414379175534
116,3.9271431548314073,3.9804947479626014,4.131235967022268,4.382364625376352,4.532282319821975,4.754230747784708,5.197387623715184
117,3.9425972600352606,4.003148073713086,4.157567054084558,4.3935334458922055,4.568433735037364,4.787049071711328,5.233781353241779
118,3.9819852279324115,4.053065743603215,4.143383154083523,4.415078181174121,4.613158152927815,4.864289491119787,5.298255409685232
119,3.9955778425933555,3.9838503018386655,4.130429495734413,4.387235023635037,4.561491048210578,4.82311748389217,5.249249622688213
120,3.962909410138006,3.9841692176408645,4.177568418380971,4.425895269845936,4.59172024756063,4.809509415253442,5.257191702445502
121,3.9654488046114196,3.990858744111129,4.113028105262213,4.302858159126651,4.500456137752257,4.711785751723043,5.201144525096659
122,3.9727091143295468,4.003860624141713,4.145327526900595,4.359027985450132,4.533412650404154,4.771453556881018,5.215087642823596
123,3.9426407657688243,4.009328007628068,4.152535360324149,4.36962418303039,4.553511389456584,4.811084838569671,5.237104024976155
124,3.964621640894754,4.019478685914458,4.155862518627107,4.450199659463492,4.622229943839772,4.859826529292336,5.322403964329224
125,3.9671128531575133,3.9994893138789354,4.149625583624741,4.422485094500941,4.578991755678102,4.838480582570562,5.280167546579814
126,3.960577579904643,4.01861313971898,4.179733672921205,4.449178358650298,4.657694436272934,4.881402024570506,5.33849267869193
127,3.957804843735252,4.017163990908778,4.188145491993292,4.470772707553747,4.603792153809621,4.840563172006291,5.283617839663066
128,3.9683670972519343,4.027333909181699,4.180711227980742,4.458170375826755,4.653884391385644,4.861070680614911,5.313367785348647
